mm10	mm10 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000051956.4	pc	ENSG00000188050.2	pc	one-to-one
ENSMUSG00000040263.16	pc	ENSG00000104731.13	pc	one-to-many
ENSMUSG00000105879.1	other	ENSG00000226396.1	other	many-to-many
ENSMUSG00000084309.1	other	ENSG00000228623.5	pc	many-to-many
ENSMUSG00000063556.5	other	ENSG00000214074.3	other	many-to-many
ENSMUSG00000043384.15	pc	ENSG00000125962.14	pc	many-to-many
ENSMUSG00000020826.8	pc	ENSG00000263604.1	other	many-to-many
ENSMUSG00000071178.11	pc	ENSG00000197249.13	pc	one-to-many
ENSMUSG00000042831.13	pc	ENSG00000248101.2	lncRNA	many-to-many
ENSMUSG00000088334.2	ncRNA	ENSG00000225978.3	lncRNA	one-to-many
ENSMUSG00000103483.1	other	ENSG00000113209.8	pc	many-to-many
ENSMUSG00000046282.7	pc	ENSG00000249162.1	other	one-to-many
ENSMUSG00000113157.1	lncRNA	ENSG00000115756.12	pc	many-to-many
ENSMUSG00000032966.14	pc	ENSG00000088832.16	pc	many-to-many
ENSMUSG00000098459.1	ncRNA	ENSG00000183242.11	lncRNA	many-to-many
ENSMUSG00000066061.6	pc	ENSG00000162727.3	pc	many-to-many
ENSMUSG00000108813.1	other	ENSG00000213393.5	other	many-to-many
ENSMUSG00000105327.1	other	ENSG00000244398.1	other	one-to-many
ENSMUSG00000081973.1	other	ENSG00000258679.1	other	many-to-many
ENSMUSG00000040842.17	pc	ENSG00000108469.14	pc	many-to-many
ENSMUSG00000048458.8	pc	ENSG00000197852.9	pc	one-to-one
ENSMUSG00000073889.10	pc	ENSG00000137070.17	pc	many-to-many
ENSMUSG00000109061.1	pc	ENSG00000076984.17	pc	many-to-many
ENSMUSG00000101936.1	other	ENSG00000255342.1	other	one-to-many
ENSMUSG00000104673.1	other	ENSG00000198707.14	pc	one-to-many
ENSMUSG00000093714.1	other	ENSG00000226348.1	other	one-to-many
ENSMUSG00000022994.9	pc	ENSG00000174233.11	pc	one-to-one
ENSMUSG00000049971.17	pc	ENSG00000151948.11	pc	one-to-one
ENSMUSG00000104252.5	pc	ENSG00000250120.6	pc	many-to-many
ENSMUSG00000091534.2	other	ENSG00000243974.1	other	many-to-many
ENSMUSG00000039047.17	pc	ENSG00000142892.14	pc	one-to-one
ENSMUSG00000023151.9	pc	ENSG00000214954.8	pc	many-to-many
ENSMUSG00000028957.12	pc	ENSG00000049246.14	pc	one-to-many
ENSMUSG00000005575.16	pc	ENSG00000261461.1	other	many-to-many
ENSMUSG00000091987.8	pc	ENSG00000215507.10	other	many-to-many
ENSMUSG00000029478.16	pc	ENSG00000196498.13	pc	one-to-one
ENSMUSG00000022144.3	pc	ENSG00000168621.14	pc	one-to-one
ENSMUSG00000034220.7	pc	ENSG00000063660.8	pc	one-to-one
ENSMUSG00000059503.2	pc	ENSG00000279111.2	other	one-to-many
ENSMUSG00000073664.11	pc	ENSG00000144426.18	pc	one-to-many
ENSMUSG00000087298.3	other	ENSG00000258769.1	other	many-to-many
ENSMUSG00000034906.15	pc	ENSG00000121152.9	pc	one-to-one
ENSMUSG00000077303.1	ncRNA	ENSG00000212518.1	ncRNA	one-to-many
ENSMUSG00000081593.1	other	ENSG00000151846.8	pc	one-to-many
ENSMUSG00000115188.1	other	ENSG00000235208.2	other	many-to-many
ENSMUSG00000047544.7	pc	ENSG00000176893.5	pc	one-to-many
ENSMUSG00000083380.1	other	ENSG00000251306.1	other	many-to-many
ENSMUSG00000094743.2	other	ENSG00000237906.1	other	many-to-many
ENSMUSG00000007827.10	pc	ENSG00000249079.1	other	many-to-many
ENSMUSG00000088529.1	ncRNA	ENSG00000275143.1	ncRNA	many-to-many
ENSMUSG00000094446.1	other	ENSG00000243730.2	other	many-to-many
ENSMUSG00000105884.1	ncRNA	ENSG00000266402.3	lncRNA	many-to-many
ENSMUSG00000092278.1	other	ENSG00000095139.13	pc	many-to-many
ENSMUSG00000083311.3	other	ENSG00000241947.1	other	many-to-many
ENSMUSG00000090466.1	other	ENSG00000273259.3	pc	many-to-many
ENSMUSG00000071068.6	pc	ENSG00000112195.8	pc	one-to-many
ENSMUSG00000006288.8	pc	ENSG00000136319.11	pc	one-to-many
ENSMUSG00000058659.6	pc	ENSG00000237521.3	pc	one-to-many
ENSMUSG00000026825.17	pc	ENSG00000261491.1	other	many-to-many
ENSMUSG00000037902.18	pc	ENSG00000198053.11	pc	many-to-many
ENSMUSG00000086355.1	lncRNA	ENSG00000236796.1	other	one-to-one
ENSMUSG00000098988.1	ncRNA	ENSG00000274606.1	ncRNA	many-to-many
ENSMUSG00000029255.8	pc	ENSG00000211451.12	other	one-to-many
ENSMUSG00000109490.1	other	ENSG00000221878.12	pc	many-to-many
ENSMUSG00000092303.1	other	ENSG00000224752.1	other	one-to-many
ENSMUSG00000048752.7	pc	ENSG00000283706.1	pc	many-to-many
ENSMUSG00000098948.1	ncRNA	ENSG00000253352.8	lncRNA	many-to-many
ENSMUSG00000065097.1	ncRNA	ENSG00000197989.13	lncRNA	many-to-many
ENSMUSG00000101477.1	other	ENSG00000134376.15	pc	one-to-many
ENSMUSG00000091614.1	pc	ENSG00000172738.11	pc	one-to-many
ENSMUSG00000038242.12	pc	ENSG00000243478.9	other	many-to-many
ENSMUSG00000073963.3	pc	ENSG00000176904.2	pc	one-to-many
ENSMUSG00000020640.10	pc	ENSG00000278662.4	pc	many-to-many
ENSMUSG00000031452.15	pc	ENSG00000283199.1	pc	one-to-one
ENSMUSG00000105835.1	pc	ENSG00000109814.11	pc	many-to-many
ENSMUSG00000106325.1	other	ENSG00000259303.5	other	one-to-many
ENSMUSG00000105893.1	other	ENSG00000227057.9	pc	many-to-many
ENSMUSG00000051678.4	pc	ENSG00000113209.8	pc	one-to-many
ENSMUSG00000038828.13	pc	ENSG00000119777.18	pc	many-to-many
ENSMUSG00000049062.3	other	ENSG00000187833.7	pc	one-to-many
ENSMUSG00000102866.1	other	ENSG00000244245.1	other	many-to-many
ENSMUSG00000108929.2	pc	ENSG00000270099.1	pc	many-to-many
ENSMUSG00000000486.13	pc	ENSG00000280137.1	lncRNA	one-to-many
ENSMUSG00000020698.11	pc	ENSG00000132141.13	pc	one-to-one
ENSMUSG00000096699.1	other	ENSG00000240463.1	other	many-to-many
ENSMUSG00000114871.1	other	ENSG00000199121.4	ncRNA	many-to-many
ENSMUSG00000095827.2	other	ENSG00000253502.1	other	one-to-many
ENSMUSG00000034071.15	pc	ENSG00000269026.2	pc	many-to-many
ENSMUSG00000112528.1	other	ENSG00000125149.11	pc	many-to-many
ENSMUSG00000045010.14	pc	ENSG00000234442.4	other	many-to-many
ENSMUSG00000082431.3	other	ENSG00000249140.1	other	many-to-many
ENSMUSG00000043716.13	pc	ENSG00000147604.13	pc	one-to-one
ENSMUSG00000103905.1	other	ENSG00000234927.1	other	many-to-many
ENSMUSG00000076039.1	ncRNA	ENSG00000226608.3	other	many-to-many
ENSMUSG00000093662.2	lncRNA	ENSG00000169856.8	pc	many-to-many
ENSMUSG00000074874.10	pc	ENSG00000135047.14	pc	one-to-many
ENSMUSG00000076586.2	other	ENSG00000211598.2	other	one-to-many
ENSMUSG00000024663.17	pc	ENSG00000238090.1	other	one-to-many
ENSMUSG00000041241.12	pc	ENSG00000090432.6	pc	one-to-one
ENSMUSG00000061981.14	pc	ENSG00000132589.15	pc	one-to-one
ENSMUSG00000024085.13	pc	ENSG00000112893.9	pc	one-to-one
ENSMUSG00000034317.14	pc	ENSG00000213186.7	pc	many-to-many
ENSMUSG00000093909.2	other	ENSG00000257198.6	other	one-to-many
ENSMUSG00000054827.12	pc	ENSG00000138109.9	pc	many-to-many
ENSMUSG00000088419.1	ncRNA	ENSG00000206909.1	ncRNA	one-to-many
ENSMUSG00000049028.8	pc	ENSG00000177306.4	other	many-to-many
ENSMUSG00000096656.6	other	ENSG00000211798.3	other	one-to-many
ENSMUSG00000112222.1	other	ENSG00000267190.1	other	many-to-many
ENSMUSG00000104166.1	other	ENSG00000231747.1	other	many-to-many
ENSMUSG00000089960.1	pc	ENSG00000242515.5	pc	many-to-many
ENSMUSG00000051335.6	pc	ENSG00000145990.10	pc	one-to-one
ENSMUSG00000018765.5	pc	ENSG00000129245.11	pc	one-to-one
ENSMUSG00000060691.3	pc	ENSG00000184351.7	pc	one-to-one
ENSMUSG00000024999.7	pc	ENSG00000173145.11	pc	one-to-many
ENSMUSG00000042303.18	pc	ENSG00000100359.20	pc	many-to-many
ENSMUSG00000089675.1	pc	ENSG00000241119.1	pc	many-to-many
ENSMUSG00000062713.7	pc	ENSG00000159263.15	pc	one-to-one
ENSMUSG00000105770.1	ncRNA	ENSG00000222370.1	ncRNA	many-to-many
ENSMUSG00000025138.14	pc	ENSG00000187531.13	pc	many-to-many
ENSMUSG00000103037.1	pc	ENSG00000253731.2	pc	many-to-many
ENSMUSG00000081176.1	other	ENSG00000226881.5	other	many-to-many
ENSMUSG00000079455.9	other	ENSG00000135899.17	pc	one-to-many
ENSMUSG00000091189.1	other	ENSG00000169397.3	pc	one-to-many
ENSMUSG00000109415.1	other	ENSG00000233499.1	other	one-to-many
ENSMUSG00000082620.1	other	ENSG00000257043.1	other	one-to-many
ENSMUSG00000099070.1	ncRNA	ENSG00000182866.16	pc	one-to-many
ENSMUSG00000088094.1	ncRNA	ENSG00000233016.6	lncRNA	many-to-many
ENSMUSG00000081622.1	other	ENSG00000271044.1	other	many-to-many
ENSMUSG00000040669.14	pc	ENSG00000111752.10	pc	one-to-many
ENSMUSG00000047878.12	pc	ENSG00000128274.15	pc	one-to-one
ENSMUSG00000081965.1	other	ENSG00000105298.13	pc	many-to-many
ENSMUSG00000089931.1	other	ENSG00000254595.1	other	many-to-many
ENSMUSG00000095423.1	other	ENSG00000139351.14	pc	one-to-many
ENSMUSG00000100551.1	other	ENSG00000234274.1	other	many-to-many
ENSMUSG00000061486.7	other	ENSG00000077312.8	pc	one-to-many
ENSMUSG00000024778.12	pc	ENSG00000026103.21	pc	one-to-one
ENSMUSG00000041570.14	pc	ENSG00000118200.14	pc	one-to-one
ENSMUSG00000106581.1	ncRNA	ENSG00000218226.1	other	one-to-many
ENSMUSG00000110076.1	other	ENSG00000105146.12	pc	one-to-many
ENSMUSG00000046667.14	pc	ENSG00000183808.11	pc	one-to-many
ENSMUSG00000029752.12	pc	ENSG00000274231.1	other	many-to-many
ENSMUSG00000109542.2	pc	ENSG00000183303.2	pc	one-to-many
ENSMUSG00000055134.5	lncRNA	ENSG00000265349.1	lncRNA	one-to-one
ENSMUSG00000046916.9	pc	ENSG00000120279.6	pc	one-to-one
ENSMUSG00000100621.1	pc	ENSG00000260431.2	other	many-to-many
ENSMUSG00000073607.2	other	ENSG00000224993.3	other	one-to-many
ENSMUSG00000096508.7	pc	ENSG00000273746.1	other	one-to-many
ENSMUSG00000079993.2	other	ENSG00000230202.1	other	one-to-many
ENSMUSG00000103332.1	pc	ENSG00000253910.2	pc	many-to-many
ENSMUSG00000083250.1	other	ENSG00000135108.14	pc	one-to-many
ENSMUSG00000099858.1	other	ENSG00000140263.13	pc	one-to-many
ENSMUSG00000064637.1	ncRNA	ENSG00000252689.1	ncRNA	many-to-many
ENSMUSG00000080998.1	other	ENSG00000228685.1	other	many-to-many
ENSMUSG00000032128.15	pc	ENSG00000154134.14	pc	one-to-one
ENSMUSG00000083783.1	other	ENSG00000224094.1	other	one-to-many
ENSMUSG00000049436.4	pc	ENSG00000251012.1	pc	many-to-many
ENSMUSG00000042529.14	pc	ENSG00000263433.1	other	one-to-many
ENSMUSG00000031897.9	pc	ENSG00000205220.11	pc	many-to-many
ENSMUSG00000107203.1	other	ENSG00000228121.1	other	one-to-many
ENSMUSG00000073147.3	lncRNA	ENSG00000228393.3	lncRNA	one-to-many
ENSMUSG00000087660.1	lncRNA	ENSG00000224645.1	lncRNA	one-to-one
ENSMUSG00000040430.18	pc	ENSG00000154217.14	pc	one-to-many
ENSMUSG00000060206.11	pc	ENSG00000148143.12	pc	one-to-one
ENSMUSG00000114785.1	other	ENSG00000103145.10	pc	one-to-many
ENSMUSG00000083216.2	other	ENSG00000223609.7	pc	many-to-many
ENSMUSG00000070873.5	pc	ENSG00000186152.6	other	many-to-many
ENSMUSG00000103677.1	pc	ENSG00000262576.2	pc	many-to-many
ENSMUSG00000038482.11	pc	ENSG00000198176.12	pc	many-to-many
ENSMUSG00000109512.1	other	ENSG00000132967.9	other	one-to-many
ENSMUSG00000086583.3	other	ENSG00000229994.1	other	many-to-many
ENSMUSG00000112703.1	other	ENSG00000224221.1	other	one-to-many
ENSMUSG00000050213.6	pc	ENSG00000163877.10	pc	one-to-many
ENSMUSG00000050015.3	pc	ENSG00000239590.1	pc	one-to-many
ENSMUSG00000041515.9	pc	ENSG00000140968.10	pc	one-to-one
ENSMUSG00000029465.14	pc	ENSG00000256745.1	other	many-to-many
ENSMUSG00000108307.1	other	ENSG00000007306.14	pc	many-to-many
ENSMUSG00000004637.15	pc	ENSG00000276007.1	lncRNA	one-to-many
ENSMUSG00000039831.16	pc	ENSG00000137962.12	pc	one-to-one
ENSMUSG00000102030.1	pc	ENSG00000213973.8	pc	many-to-many
ENSMUSG00000081567.1	other	ENSG00000238236.1	other	one-to-many
ENSMUSG00000112394.1	other	ENSG00000267920.1	other	one-to-many
ENSMUSG00000113023.1	other	ENSG00000284163.1	ncRNA	many-to-many
ENSMUSG00000030693.10	pc	ENSG00000129451.11	pc	one-to-one
ENSMUSG00000032372.14	pc	ENSG00000188313.12	pc	one-to-many
ENSMUSG00000088843.1	ncRNA	ENSG00000210841.1	ncRNA	one-to-many
ENSMUSG00000107259.1	other	ENSG00000134779.14	pc	one-to-many
ENSMUSG00000042849.11	pc	ENSG00000178586.5	pc	many-to-many
ENSMUSG00000043073.10	pc	ENSG00000235780.3	pc	many-to-many
ENSMUSG00000013089.15	pc	ENSG00000058866.14	pc	many-to-many
ENSMUSG00000030086.16	pc	ENSG00000159685.10	pc	one-to-one
ENSMUSG00000114758.1	other	ENSG00000243680.1	other	one-to-many
ENSMUSG00000020397.15	pc	ENSG00000155868.7	pc	many-to-many
ENSMUSG00000001985.9	pc	ENSG00000163873.9	pc	one-to-one
ENSMUSG00000104148.5	pc	ENSG00000243232.4	pc	many-to-many
ENSMUSG00000008301.11	pc	ENSG00000254712.1	other	one-to-many
ENSMUSG00000098199.1	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000039298.16	pc	ENSG00000231643.4	other	many-to-many
ENSMUSG00000108746.1	other	ENSG00000180279.6	lncRNA	one-to-many
ENSMUSG00000083199.1	other	ENSG00000101361.16	pc	many-to-many
ENSMUSG00000010517.7	pc	ENSG00000185104.19	pc	one-to-one
ENSMUSG00000088675.1	ncRNA	ENSG00000259001.3	lncRNA	many-to-many
ENSMUSG00000026754.16	pc	ENSG00000136935.13	pc	one-to-many
ENSMUSG00000062588.4	other	ENSG00000226059.2	other	many-to-many
ENSMUSG00000055679.5	pc	ENSG00000135047.14	pc	one-to-many
ENSMUSG00000019867.4	pc	ENSG00000203733.5	pc	one-to-one
ENSMUSG00000028636.14	pc	ENSG00000127125.8	pc	one-to-one
ENSMUSG00000103567.1	pc	ENSG00000253159.2	pc	many-to-many
ENSMUSG00000085608.1	other	ENSG00000242852.6	pc	many-to-many
ENSMUSG00000091679.8	pc	ENSG00000234680.1	other	many-to-many
ENSMUSG00000072946.12	pc	ENSG00000258653.3	pc	many-to-many
ENSMUSG00000102828.5	lncRNA	ENSG00000253159.2	pc	many-to-many
ENSMUSG00000083369.1	other	ENSG00000258895.1	other	one-to-many
ENSMUSG00000084106.4	other	ENSG00000240159.1	other	many-to-many
ENSMUSG00000025727.8	pc	ENSG00000161992.5	pc	one-to-one
ENSMUSG00000025534.17	pc	ENSG00000273000.5	lncRNA	many-to-many
ENSMUSG00000065541.1	ncRNA	ENSG00000267519.5	lncRNA	many-to-many
ENSMUSG00000022360.8	pc	ENSG00000283172.1	ncRNA	one-to-many
ENSMUSG00000030980.17	pc	ENSG00000232422.1	other	one-to-many
ENSMUSG00000057894.10	pc	ENSG00000181894.14	pc	one-to-one
ENSMUSG00000037072.15	pc	ENSG00000183291.15	pc	one-to-one
ENSMUSG00000030049.5	pc	ENSG00000183607.9	pc	one-to-one
ENSMUSG00000010142.12	pc	ENSG00000108516.5	other	many-to-many
ENSMUSG00000015880.13	pc	ENSG00000109805.9	pc	one-to-many
ENSMUSG00000027157.10	pc	ENSG00000166351.10	pc	many-to-many
ENSMUSG00000038598.9	pc	ENSG00000165181.16	pc	one-to-one
ENSMUSG00000083996.1	other	ENSG00000203909.3	pc	one-to-many
ENSMUSG00000038750.12	pc	ENSG00000135314.12	pc	one-to-many
ENSMUSG00000115302.1	pc	ENSG00000129965.14	pc	many-to-many
ENSMUSG00000046637.3	pc	ENSG00000271632.1	other	one-to-many
ENSMUSG00000040197.4	pc	ENSG00000090659.17	pc	one-to-many
ENSMUSG00000022604.18	pc	ENSG00000182504.10	pc	one-to-one
ENSMUSG00000001833.17	pc	ENSG00000259090.1	other	many-to-many
ENSMUSG00000035776.14	pc	ENSG00000102181.20	pc	one-to-one
ENSMUSG00000094079.1	other	ENSG00000243964.1	other	one-to-many
ENSMUSG00000037049.9	pc	ENSG00000166311.9	pc	one-to-one
ENSMUSG00000078906.9	pc	ENSG00000223547.9	pc	one-to-many
ENSMUSG00000077546.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000102918.1	pc	ENSG00000261934.2	pc	many-to-many
ENSMUSG00000024301.9	pc	ENSG00000237649.7	pc	one-to-many
ENSMUSG00000085351.1	lncRNA	ENSG00000107185.9	pc	one-to-many
ENSMUSG00000096740.7	pc	ENSG00000278615.4	pc	many-to-many
ENSMUSG00000064127.13	pc	ENSG00000233774.1	other	one-to-many
ENSMUSG00000102813.1	lncRNA	ENSG00000228526.6	lncRNA	many-to-many
ENSMUSG00000092504.1	other	ENSG00000235508.3	other	one-to-many
ENSMUSG00000101582.1	other	ENSG00000147059.8	pc	one-to-many
ENSMUSG00000092218.1	lncRNA	ENSG00000173540.12	pc	one-to-many
ENSMUSG00000032497.16	pc	ENSG00000237014.1	other	one-to-many
ENSMUSG00000038764.14	pc	ENSG00000070159.13	pc	one-to-one
ENSMUSG00000032352.16	pc	ENSG00000137269.14	pc	one-to-one
ENSMUSG00000021018.7	pc	ENSG00000163882.9	pc	one-to-many
ENSMUSG00000028910.12	pc	ENSG00000116353.15	pc	one-to-one
ENSMUSG00000106795.1	lncRNA	ENSG00000255399.3	lncRNA	one-to-one
ENSMUSG00000028996.9	pc	ENSG00000162444.11	pc	one-to-one
ENSMUSG00000029326.13	pc	ENSG00000145293.15	pc	one-to-many
ENSMUSG00000095325.2	pc	ENSG00000269755.1	pc	many-to-many
ENSMUSG00000022193.7	pc	ENSG00000100804.18	pc	many-to-many
ENSMUSG00000000869.12	pc	ENSG00000113520.10	pc	one-to-one
ENSMUSG00000089661.9	pc	ENSG00000261857.6	pc	many-to-many
ENSMUSG00000067949.4	other	ENSG00000258764.1	other	many-to-many
ENSMUSG00000113482.1	other	ENSG00000204789.4	other	one-to-many
ENSMUSG00000107810.1	other	ENSG00000137727.12	pc	one-to-many
ENSMUSG00000108906.1	other	ENSG00000087053.18	pc	many-to-many
ENSMUSG00000081180.1	other	ENSG00000220583.1	other	one-to-many
ENSMUSG00000021794.16	pc	ENSG00000148672.8	pc	many-to-many
ENSMUSG00000040209.12	pc	ENSG00000164684.13	pc	one-to-one
ENSMUSG00000115524.1	other	ENSG00000140521.12	pc	one-to-many
ENSMUSG00000038204.13	pc	ENSG00000146926.10	pc	one-to-one
ENSMUSG00000103677.1	pc	ENSG00000240184.6	pc	many-to-many
ENSMUSG00000084048.1	other	ENSG00000232362.1	other	one-to-many
ENSMUSG00000090089.3	other	ENSG00000269475.2	other	one-to-many
ENSMUSG00000045917.17	pc	ENSG00000157693.14	pc	one-to-one
ENSMUSG00000065013.1	ncRNA	ENSG00000199575.1	ncRNA	one-to-many
ENSMUSG00000081609.1	other	ENSG00000229054.1	other	one-to-many
ENSMUSG00000109182.1	other	ENSG00000142409.5	pc	one-to-many
ENSMUSG00000081999.3	other	ENSG00000226183.1	other	many-to-many
ENSMUSG00000025371.12	pc	ENSG00000176108.9	pc	one-to-many
ENSMUSG00000103037.1	pc	ENSG00000253305.2	pc	many-to-many
ENSMUSG00000099949.1	other	ENSG00000132967.9	other	one-to-many
ENSMUSG00000084838.3	other	ENSG00000243659.1	other	many-to-many
ENSMUSG00000094102.1	other	ENSG00000253467.2	other	many-to-many
ENSMUSG00000093904.2	pc	ENSG00000173726.10	pc	many-to-many
ENSMUSG00000019802.13	pc	ENSG00000025796.13	pc	one-to-many
ENSMUSG00000021681.8	pc	ENSG00000260994.1	other	one-to-many
ENSMUSG00000061665.6	pc	ENSG00000198087.7	pc	one-to-many
ENSMUSG00000083351.1	other	ENSG00000249176.1	other	one-to-many
ENSMUSG00000082411.1	other	ENSG00000244363.3	other	one-to-many
ENSMUSG00000025979.13	pc	ENSG00000115540.14	pc	many-to-many
ENSMUSG00000062629.4	pc	ENSG00000204695.4	pc	one-to-many
ENSMUSG00000085241.7	lncRNA	ENSG00000242125.3	lncRNA	many-to-many
ENSMUSG00000027679.13	pc	ENSG00000205981.6	pc	one-to-one
ENSMUSG00000039296.15	pc	ENSG00000185040.13	pc	many-to-many
ENSMUSG00000072672.10	pc	ENSG00000282757.3	pc	many-to-many
ENSMUSG00000023967.9	pc	ENSG00000096080.11	pc	one-to-many
ENSMUSG00000089387.1	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000020538.15	pc	ENSG00000072310.16	pc	many-to-many
ENSMUSG00000082001.3	other	ENSG00000225573.4	other	one-to-many
ENSMUSG00000102572.1	lncRNA	ENSG00000231221.1	lncRNA	one-to-one
ENSMUSG00000095432.9	pc	ENSG00000268278.1	other	many-to-many
ENSMUSG00000097656.1	other	ENSG00000145337.4	pc	many-to-many
ENSMUSG00000081359.1	other	ENSG00000213025.2	other	one-to-many
ENSMUSG00000023036.14	pc	ENSG00000254245.2	pc	many-to-many
ENSMUSG00000099323.1	ncRNA	ENSG00000152931.7	lncRNA	many-to-many
ENSMUSG00000054720.12	pc	ENSG00000171488.14	pc	many-to-many
ENSMUSG00000091896.7	pc	ENSG00000131508.15	pc	one-to-many
ENSMUSG00000077239.1	ncRNA	ENSG00000212532.1	ncRNA	one-to-many
ENSMUSG00000062647.16	pc	ENSG00000148303.16	pc	many-to-many
ENSMUSG00000089171.1	ncRNA	ENSG00000281808.1	ncRNA	many-to-many
ENSMUSG00000026455.14	pc	ENSG00000215493.3	other	one-to-many
ENSMUSG00000081538.1	other	ENSG00000242327.1	other	one-to-many
ENSMUSG00000047676.6	other	ENSG00000226765.1	other	many-to-many
ENSMUSG00000034557.14	pc	ENSG00000277435.1	other	one-to-many
ENSMUSG00000047583.9	pc	ENSG00000162623.15	pc	one-to-one
ENSMUSG00000114919.1	other	ENSG00000266899.2	other	one-to-many
ENSMUSG00000111815.1	other	ENSG00000275078.1	other	many-to-many
ENSMUSG00000055204.15	pc	ENSG00000132466.18	pc	one-to-one
ENSMUSG00000079116.1	pc	ENSG00000164821.4	pc	one-to-many
ENSMUSG00000022677.14	pc	ENSG00000133393.12	pc	one-to-one
ENSMUSG00000097021.7	lncRNA	ENSG00000259438.1	lncRNA	one-to-one
ENSMUSG00000026775.9	pc	ENSG00000240296.1	other	many-to-many
ENSMUSG00000084358.1	other	ENSG00000228305.2	other	one-to-many
ENSMUSG00000056290.15	pc	ENSG00000110079.16	pc	one-to-many
ENSMUSG00000092468.1	other	ENSG00000134376.15	pc	one-to-many
ENSMUSG00000094573.1	ncRNA	ENSG00000206656.1	ncRNA	one-to-many
ENSMUSG00000037085.8	pc	ENSG00000275320.1	other	one-to-many
ENSMUSG00000027363.15	pc	ENSG00000214892.4	other	one-to-many
ENSMUSG00000041559.7	pc	ENSG00000122176.10	pc	one-to-one
ENSMUSG00000107513.1	other	ENSG00000118707.9	pc	many-to-many
ENSMUSG00000083912.1	other	ENSG00000235672.1	other	many-to-many
ENSMUSG00000024968.13	pc	ENSG00000257360.1	other	one-to-many
ENSMUSG00000081011.1	other	ENSG00000185641.6	other	one-to-many
ENSMUSG00000058402.14	pc	ENSG00000197050.10	pc	one-to-many
ENSMUSG00000009741.15	pc	ENSG00000153560.11	pc	many-to-many
ENSMUSG00000051361.7	pc	ENSG00000236446.3	pc	many-to-many
ENSMUSG00000051351.14	pc	ENSG00000197363.9	pc	many-to-many
ENSMUSG00000082799.1	other	ENSG00000131725.13	pc	one-to-many
ENSMUSG00000024227.14	pc	ENSG00000226926.7	other	one-to-many
ENSMUSG00000074652.3	pc	ENSG00000078814.15	pc	one-to-one
ENSMUSG00000113365.1	other	ENSG00000124275.14	pc	one-to-many
ENSMUSG00000070572.7	other	ENSG00000265262.1	other	many-to-many
ENSMUSG00000102601.1	other	ENSG00000253747.1	other	many-to-many
ENSMUSG00000099946.1	other	ENSG00000155545.19	pc	one-to-many
ENSMUSG00000030780.15	pc	ENSG00000140688.16	pc	one-to-many
ENSMUSG00000028385.14	pc	ENSG00000205302.6	pc	many-to-many
ENSMUSG00000107959.1	other	ENSG00000178458.5	other	one-to-many
ENSMUSG00000078126.4	other	ENSG00000232625.1	other	many-to-many
ENSMUSG00000006457.3	pc	ENSG00000248746.5	pc	one-to-one
ENSMUSG00000033883.11	pc	ENSG00000105750.14	pc	many-to-many
ENSMUSG00000107452.1	other	ENSG00000258316.1	other	one-to-many
ENSMUSG00000069844.12	pc	ENSG00000133028.10	pc	one-to-many
ENSMUSG00000028036.6	pc	ENSG00000122420.9	pc	one-to-one
ENSMUSG00000039987.15	pc	ENSG00000006576.16	pc	one-to-one
ENSMUSG00000025085.16	pc	ENSG00000099204.18	pc	one-to-one
ENSMUSG00000027878.11	pc	ENSG00000134250.19	pc	many-to-many
ENSMUSG00000104252.5	pc	ENSG00000204962.5	pc	many-to-many
ENSMUSG00000088823.1	ncRNA	ENSG00000147403.16	pc	many-to-many
ENSMUSG00000085867.1	other	ENSG00000116785.13	pc	many-to-many
ENSMUSG00000006219.12	pc	ENSG00000162458.12	pc	many-to-many
ENSMUSG00000057446.3	pc	ENSG00000135047.14	pc	one-to-many
ENSMUSG00000021871.18	pc	ENSG00000198805.11	pc	many-to-many
ENSMUSG00000111297.1	other	ENSG00000198618.5	other	one-to-many
ENSMUSG00000105388.1	other	ENSG00000242123.1	other	many-to-many
ENSMUSG00000061898.10	pc	ENSG00000127957.17	other	many-to-many
ENSMUSG00000099107.1	ncRNA	ENSG00000277542.1	ncRNA	many-to-many
ENSMUSG00000110206.1	pc	ENSG00000273189.1	lncRNA	many-to-many
ENSMUSG00000089556.1	ncRNA	ENSG00000230734.1	other	many-to-many
ENSMUSG00000021748.9	pc	ENSG00000168291.12	pc	one-to-many
ENSMUSG00000114166.1	other	ENSG00000198546.14	pc	many-to-many
ENSMUSG00000047344.9	pc	ENSG00000231069.1	other	one-to-many
ENSMUSG00000034509.8	pc	ENSG00000124688.13	pc	one-to-one
ENSMUSG00000101225.1	lncRNA	ENSG00000261840.2	lncRNA	one-to-one
ENSMUSG00000104438.1	lncRNA	ENSG00000249697.1	lncRNA	one-to-one
ENSMUSG00000039480.14	pc	ENSG00000237381.2	other	one-to-many
ENSMUSG00000040249.15	pc	ENSG00000123384.13	pc	one-to-one
ENSMUSG00000027427.13	pc	ENSG00000270812.1	other	many-to-many
ENSMUSG00000097974.1	lncRNA	ENSG00000255136.2	lncRNA	one-to-one
ENSMUSG00000049687.5	pc	ENSG00000177096.8	pc	one-to-one
