Gene ID	Symbol	Conservation (age)	Expression Capacity	Featured Expression	Featured Methylation	Variation (disease/trait-association)	Interaction	Small Protein
HSALNG0051131	-	12. Eutheria	HC	yes	-	yes	yes	yes
HSALNG0051549	-	12. Eutheria	LC	-	-	yes	yes	-
HSALNG0051971	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0052418	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0053604	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0055072	-	6. Catarrhini	LC	-	-	yes	-	-
HSALNG0055751	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0056558	-	16. Tetrapoda	NE	-	yes	yes	-	-
HSALNG0056919	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0057634	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0058025	-	13. Theria	LC	-	-	yes	-	-
HSALNG0058428	-	5. Hominoidea	NE	-	yes	yes	-	-
HSALNG0058791	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0060794	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0061191	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0063021	-	1. Homo	NE	-	-	yes	-	-
HSALNG0063399	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0063767	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0064541	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0065781	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0066194	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0150250	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0067474	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0067904	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0068295	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0068700	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0069434	-	16. Tetrapoda	HC	yes	-	yes	yes	-
HSALNG0071712	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0072119	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0072504	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0073206	-	13. Theria	MC	-	-	yes	-	-
HSALNG0073592	-	17. Euteleostomi	NE	-	-	yes	-	yes
HSALNG0074329	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0074680	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0075368	-	17. Euteleostomi	HC	yes	-	yes	-	-
HSALNG0075677	-	6. Catarrhini	MC	yes	yes	yes	-	-
HSALNG0076359	-	13. Theria	MC	-	-	yes	-	-
HSALNG0142815	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0079392	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0079786	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0080166	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0080507	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0142985	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0085003	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0085788	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0086162	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0086584	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0143069	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0143080	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0088980	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0143359	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0090585	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0091016	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0091864	-	10. Euarchontoglires	MC	yes	-	yes	-	-
HSALNG0092217	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0092637	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0093835	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0094229	-	13. Theria	HC	yes	yes	yes	-	-
HSALNG0094913	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0095569	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0096675	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0097019	-	13. Theria	MC	yes	-	yes	-	yes
HSALNG0097426	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0000079	-	15. Amniota	HC	yes	-	yes	-	yes
HSALNG0097851	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0000422	-	13. Theria	HC	-	-	yes	-	-
HSALNG0098260	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0000754	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0142139	-	1. Homo	MC	-	-	yes	-	-
HSALNG0099813	-	13. Theria	MC	-	-	yes	-	-
HSALNG0002150	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0100628	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0002864	-	13. Theria	HC	yes	-	yes	-	-
HSALNG0101084	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0101904	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0102702	-	17. Euteleostomi	HC	yes	-	yes	-	-
HSALNG0103098	-	14. Mammalia	MC	yes	yes	yes	yes	-
HSALNG0005157	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0006305	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0104601	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0006542	-	8. Haplorrhini	MC	-	yes	yes	-	-
HSALNG0104967	-	2. Hominini	NE	-	-	yes	yes	yes
HSALNG0105341	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0007404	-	13. Theria	MC	-	-	yes	-	-
HSALNG0105761	-	13. Theria	HC	-	-	yes	-	-
HSALNG0106169	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0008175	-	13. Theria	HC	-	-	yes	-	-
HSALNG0106541	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0107318	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0009382	-	13. Theria	MC	-	-	yes	-	-
HSALNG0107670	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0009778	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0108349	-	17. Euteleostomi	MC	-	-	yes	yes	-
HSALNG0010549	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0144830	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0011681	-	13. Theria	MC	-	-	yes	-	-
HSALNG0012397	-	8. Haplorrhini	LC	-	-	yes	-	-
HSALNG0110501	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0012710	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0111282	-	11. Boreoeutheria	HC	yes	yes	yes	-	-
HSALNG0111653	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0112037	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0014107	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0112439	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0014481	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0112837	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0113885	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0015948	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0114646	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0115024	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0115425	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0017572	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0115776	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0017978	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0018752	-	11. Boreoeutheria	LC	-	yes	yes	-	-
HSALNG0116853	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0019113	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0117616	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0118000	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0020298	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0020634	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0118749	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0021018	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0021420	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0145401	-	2. Hominini	MC	-	-	yes	-	-
HSALNG0119766	-	13. Theria	LC	-	-	yes	-	-
HSALNG0022671	-	11. Boreoeutheria	MC	-	yes	yes	-	-
HSALNG0120486	-	1. Homo	MC	yes	-	yes	-	-
HSALNG0023069	-	10. Euarchontoglires	HC	yes	-	yes	-	-
HSALNG0023431	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0147443	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0024139	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0024512	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0024895	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0025305	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0025716	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0147822	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0027205	-	13. Theria	LC	-	yes	yes	-	-
HSALNG0125273	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0028038	-	12. Eutheria	MC	-	-	yes	-	yes
HSALNG0028397	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0126043	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0028804	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0126426	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0127570	-	1. Homo	NE	-	-	yes	-	-
HSALNG0127963	-	12. Eutheria	NE	-	-	yes	-	yes
HSALNG0128321	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0129810	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0148038	-	7. Simiiformes	HC	-	-	yes	-	-
HSALNG0130581	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0130919	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0033831	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0034236	-	13. Theria	LC	yes	-	yes	-	-
HSALNG0034615	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0132291	-	1. Homo	MC	-	yes	yes	-	-
HSALNG0132620	-	14. Mammalia	MC	-	yes	yes	-	yes
HSALNG0035815	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0132967	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0036164	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0037019	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0134001	-	5. Hominoidea	HC	yes	-	yes	-	-
HSALNG0037846	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0039703	-	1. Homo	HC	-	-	yes	-	-
HSALNG0041388	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0041810	-	14. Mammalia	MC	yes	-	yes	-	-
HSALNG0042183	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0042545	-	13. Theria	NE	-	-	yes	-	-
HSALNG0042951	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0043394	-	13. Theria	MC	-	-	yes	-	-
HSALNG0043829	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0044253	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0045022	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0045383	-	15. Amniota	HC	yes	yes	yes	-	-
HSALNG0047212	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0048844	-	3. Homininae	MC	-	-	yes	-	-
HSALNG0049188	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0049571	-	15. Amniota	NE	-	-	yes	-	yes
HSALNG0051550	-	13. Theria	MC	-	-	yes	-	-
HSALNG0051973	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0052425	-	13. Theria	HC	-	-	yes	-	-
HSALNG0053605	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0053986	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0055073	-	10. Euarchontoglires	LC	-	-	yes	-	-
HSALNG0055394	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0055752	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0056154	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0056920	-	14. Mammalia	HC	yes	yes	yes	-	yes
HSALNG0057636	-	10. Euarchontoglires	MC	-	-	yes	-	-
HSALNG0058027	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0149962	-	13. Theria	MC	-	-	yes	-	-
HSALNG0059164	-	13. Theria	HC	-	-	yes	-	-
HSALNG0060795	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0061549	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0062363	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0062687	-	13. Theria	LC	-	-	yes	-	-
HSALNG0063022	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0063400	-	15. Amniota	MC	-	yes	yes	-	-
HSALNG0063768	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0064542	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0064947	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0065359	-	16. Tetrapoda	LC	-	-	yes	-	-
HSALNG0068297	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0068701	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0069095	-	11. Boreoeutheria	NE	-	yes	yes	-	-
HSALNG0069435	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0150766	-	14. Mammalia	MC	yes	yes	yes	-	-
HSALNG0150796	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0071713	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0073207	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0074330	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0074682	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0075031	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0075370	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0075678	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0076014	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0076360	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0076745	-	1. Homo	MC	-	-	yes	-	-
HSALNG0077130	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0077511	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0142583	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0142816	-	13. Theria	MC	yes	yes	yes	-	-
HSALNG0080167	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0142657	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0142871	-	6. Catarrhini	NE	-	-	yes	-	-
HSALNG0081557	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0081912	-	5. Hominoidea	MC	-	yes	yes	-	-
HSALNG0082679	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0083819	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0084217	-	1. Homo	MC	-	-	yes	-	-
HSALNG0084633	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0085005	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0085789	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0086163	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0086585	-	13. Theria	MC	-	-	yes	-	-
HSALNG0087869	-	12. Eutheria	HC	-	-	yes	yes	-
HSALNG0088292	-	13. Theria	MC	-	yes	yes	-	-
HSALNG0143341	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0143592	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0090208	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0090588	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0091017	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0091417	-	14. Mammalia	HC	yes	yes	yes	-	-
HSALNG0092218	-	13. Theria	MC	-	-	yes	-	-
HSALNG0092638	-	16. Tetrapoda	MC	-	yes	yes	-	-
HSALNG0093084	-	14. Mammalia	LC	-	-	yes	-	yes
HSALNG0093836	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0094232	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0094558	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0097021	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0097428	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0000080	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0000423	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0098262	-	13. Theria	LC	-	-	yes	-	-
HSALNG0099082	-	2. Hominini	LC	-	yes	yes	-	-
HSALNG0001438	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0001791	-	1. Homo	MC	-	-	yes	-	-
HSALNG0099815	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0002151	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0100221	-	12. Eutheria	NE	-	yes	yes	-	-
HSALNG0002504	-	15. Amniota	HC	yes	-	yes	-	yes
HSALNG0101086	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0101486	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0003618	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0004370	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0004749	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0144174	-	6. Catarrhini	MC	-	yes	yes	-	-
HSALNG0006307	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0104602	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0104968	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0105762	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0007778	-	11. Boreoeutheria	LC	-	yes	yes	-	-
HSALNG0008176	-	15. Amniota	MC	-	yes	yes	-	yes
HSALNG0106542	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0008570	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0009383	-	1. Homo	LC	-	-	yes	-	-
HSALNG0107671	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0108017	-	12. Eutheria	HC	yes	yes	yes	-	-
HSALNG0010176	-	15. Amniota	LC	-	-	yes	-	-
HSALNG0144632	-	1. Homo	HC	-	-	yes	-	-
HSALNG0010946	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0144848	-	16. Tetrapoda	MC	yes	-	yes	-	-
HSALNG0011683	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0012075	-	13. Theria	MC	-	-	yes	-	-
HSALNG0144881	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0012398	-	5. Hominoidea	HC	yes	-	yes	-	-
HSALNG0012711	-	1. Homo	MC	yes	-	yes	-	-
HSALNG0110905	-	1. Homo	MC	yes	-	yes	-	-
HSALNG0111284	-	13. Theria	HC	yes	yes	yes	-	yes
HSALNG0013374	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0113189	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0113530	-	17. Euteleostomi	LC	-	-	yes	-	-
HSALNG0113886	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0015949	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0114264	-	13. Theria	HC	yes	-	yes	-	yes
HSALNG0017222	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0115426	-	14. Mammalia	MC	-	-	yes	-	-
HSALNG0017573	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0115778	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0018753	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0117193	-	13. Theria	HC	-	-	yes	-	-
HSALNG0145111	-	13. Theria	HC	yes	-	yes	-	yes
HSALNG0019881	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0117999	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0118375	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0118752	-	16. Tetrapoda	NE	-	-	yes	-	yes
HSALNG0021019	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0021421	-	15. Amniota	HC	yes	-	yes	-	-
HSALNG0119435	-	1. Homo	HC	yes	yes	yes	-	-
HSALNG0021823	-	13. Theria	MC	-	-	yes	-	-
HSALNG0022197	-	12. Eutheria	HC	yes	yes	yes	yes	-
HSALNG0022672	-	10. Euarchontoglires	MC	-	yes	yes	-	-
HSALNG0120488	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0023070	-	12. Eutheria	HC	-	yes	yes	-	-
HSALNG0121254	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0121977	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0024514	-	13. Theria	MC	-	-	yes	-	-
HSALNG0024896	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0122698	-	16. Tetrapoda	NE	-	-	yes	-	-
HSALNG0025306	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0124902	-	5. Hominoidea	HC	yes	-	yes	-	yes
HSALNG0028039	-	5. Hominoidea	LC	-	-	yes	-	-
HSALNG0125653	-	16. Tetrapoda	HC	yes	yes	yes	-	-
HSALNG0029982	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0127571	-	1. Homo	NE	-	-	yes	-	-
HSALNG0030437	-	11. Boreoeutheria	NE	-	-	yes	-	-
HSALNG0128324	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0031231	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0031622	-	14. Mammalia	LC	-	-	yes	-	-
HSALNG0032361	-	10. Euarchontoglires	HC	-	yes	yes	-	-
HSALNG0129813	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0032712	-	14. Mammalia	NE	-	-	yes	-	-
HSALNG0130583	-	11. Boreoeutheria	HC	-	yes	yes	-	-
HSALNG0033432	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0131293	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0131630	-	13. Theria	NE	-	-	yes	-	-
HSALNG0034619	-	13. Theria	MC	-	-	yes	-	-
HSALNG0131891	-	1. Homo	NE	-	-	yes	-	-
HSALNG0035467	-	7. Simiiformes	MC	-	-	yes	-	-
HSALNG0132622	-	11. Boreoeutheria	HC	yes	-	yes	-	-
HSALNG0035816	-	1. Homo	MC	-	yes	yes	-	-
HSALNG0133685	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0037025	-	13. Theria	MC	-	-	yes	-	-
HSALNG0134003	-	10. Euarchontoglires	HC	-	-	yes	-	-
HSALNG0037464	-	14. Mammalia	HC	yes	-	yes	-	-
HSALNG0134418	-	15. Amniota	HC	yes	-	yes	yes	-
HSALNG0037848	-	12. Eutheria	MC	-	-	yes	yes	-
HSALNG0134753	-	16. Tetrapoda	MC	-	-	yes	-	yes
HSALNG0038254	-	16. Tetrapoda	HC	yes	-	yes	-	yes
HSALNG0039341	-	4. Hominidae	NE	-	yes	yes	-	-
HSALNG0136206	-	6. Catarrhini	HC	-	-	yes	-	-
HSALNG0039705	-	13. Theria	MC	-	-	yes	-	-
HSALNG0040978	-	16. Tetrapoda	MC	-	-	yes	-	-
HSALNG0148606	-	8. Haplorrhini	MC	-	-	yes	-	-
HSALNG0042185	-	17. Euteleostomi	NE	-	-	yes	-	-
HSALNG0042546	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0044254	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0045023	-	12. Eutheria	HC	yes	-	yes	yes	-
HSALNG0045385	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0045766	-	6. Catarrhini	MC	-	-	yes	-	-
HSALNG0046862	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0047213	-	1. Homo	HC	yes	-	yes	-	-
HSALNG0048142	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0048483	-	11. Boreoeutheria	LC	-	-	yes	-	-
HSALNG0048845	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0049189	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0049572	-	13. Theria	HC	-	-	yes	-	-
HSALNG0049912	-	10. Euarchontoglires	HC	yes	yes	yes	-	-
HSALNG0050261	-	13. Theria	HC	-	-	yes	-	-
HSALNG0050690	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0051134	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0051551	-	15. Amniota	MC	yes	-	yes	-	yes
HSALNG0053609	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0053987	-	11. Boreoeutheria	MC	yes	-	yes	-	-
HSALNG0055076	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0055753	-	17. Euteleostomi	MC	-	-	yes	-	-
HSALNG0056922	-	12. Eutheria	MC	yes	yes	yes	-	-
HSALNG0057637	-	16. Tetrapoda	HC	yes	-	yes	-	-
HSALNG0149687	-	3. Homininae	MC	yes	-	yes	-	yes
HSALNG0059165	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0059581	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0061196	-	13. Theria	MC	yes	-	yes	-	-
HSALNG0061977	-	13. Theria	LC	-	-	yes	-	-
HSALNG0063402	-	16. Tetrapoda	HC	-	-	yes	-	-
HSALNG0063769	-	13. Theria	HC	-	-	yes	-	-
HSALNG0064166	-	12. Eutheria	MC	-	yes	yes	-	yes
HSALNG0064544	-	15. Amniota	MC	-	-	yes	-	-
HSALNG0065360	-	5. Hominoidea	MC	-	-	yes	-	-
HSALNG0066195	-	12. Eutheria	NE	-	-	yes	-	-
HSALNG0066681	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0067102	-	15. Amniota	LC	-	yes	yes	-	-
HSALNG0150275	-	12. Eutheria	LC	-	-	yes	-	-
HSALNG0068299	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0069096	-	12. Eutheria	HC	yes	-	yes	-	-
HSALNG0070612	-	12. Eutheria	LC	-	yes	yes	-	-
HSALNG0071018	-	16. Tetrapoda	MC	yes	yes	yes	-	-
HSALNG0150634	-	12. Eutheria	MC	yes	-	yes	-	-
HSALNG0072506	-	3. Homininae	MC	yes	-	yes	-	-
HSALNG0150688	-	12. Eutheria	HC	-	-	yes	-	-
HSALNG0073969	-	12. Eutheria	MC	-	yes	yes	-	-
HSALNG0075679	-	14. Mammalia	MC	-	yes	yes	-	-
HSALNG0076361	-	13. Theria	MC	-	-	yes	-	-
HSALNG0076746	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0077131	-	12. Eutheria	MC	-	-	yes	-	-
HSALNG0077512	-	11. Boreoeutheria	MC	-	-	yes	-	-
HSALNG0142584	-	15. Amniota	HC	-	-	yes	-	-
HSALNG0078670	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0079019	-	14. Mammalia	HC	-	-	yes	-	-
HSALNG0142826	-	11. Boreoeutheria	HC	-	-	yes	-	-
HSALNG0080169	-	15. Amniota	LC	-	yes	yes	-	-
HSALNG0080509	-	12. Eutheria	HC	yes	-	yes	-	-
